feor,occupation_description,hs6,machine_description
8222,Coal- or oil-fired power-generating plant operators,841583,"Air conditioners nes, without refrigerating unit"
8222,Coal- or oil-fired power-generating plant operators,841911,Instantaneous gas water heaters
8222,Coal- or oil-fired power-generating plant operators,841919,"Instantaneous/storage water heaters, not electric nes"
8222,Coal- or oil-fired power-generating plant operators,850239,Electric generating sets
8224,Hydroelectric power-generating station mechanics and machine operators,841011,"Hydraulic turbines, water wheels, power < 1000 kW"
8224,Hydroelectric power-generating station mechanics and machine operators,841012,"Hydraulic turbines, water wheels, power 1000-10000 kW"
8224,Hydroelectric power-generating station mechanics and machine operators,841013,"Hydraulic turbines, water wheels, power > 10000 kW"
8224,Hydroelectric power-generating station mechanics and machine operators,850239,Electric generating sets
8229,Power production and related plant operators not elsewhere classified,840211,"Water tube boilers, steam production > 45T per hour"
8229,Power production and related plant operators not elsewhere classified,840212,"Water tube boilers, steam production < 45T per hour"
8229,Power production and related plant operators not elsewhere classified,840219,"Vapour generating boilers nes, hybrid boilers"
8229,Power production and related plant operators not elsewhere classified,840220,Super-heated water boilers
8229,Power production and related plant operators not elsewhere classified,840310,Central heating boilers nes
8229,Power production and related plant operators not elsewhere classified,840410,Auxiliary plant for steam/vapour generating boilers
8231,Water works machine operators,840510,"Producer, water and acetylene gas generators"
8231,Water works machine operators,841319,"Pumps fitted, designed to have, a measuring device nes"
8231,Water works machine operators,841381,Pumps nes
8231,Water works machine operators,842121,Water filtering or purifying machinery or apparatus
8231,Water works machine operators,902610,Equipment to measure or check liquid flow or level
8231,Water works machine operators,902620,Equipment to measure or check pressure
8231,Water works machine operators,902680,"Equipment to measure, check gas/liquid properties nes"
8232,Sewage plant operators,841370,Centrifugal pumps nes
8232,Sewage plant operators,842121,Water filtering or purifying machinery or apparatus
8233,Water pump operators,841319,"Pumps fitted, designed to have, a measuring device nes"
8233,Water pump operators,841350,Reciprocating positive displacement pumps nes
8233,Water pump operators,841360,Rotary positive displacement pumps nes
8233,Water pump operators,841370,Centrifugal pumps nes
8233,Water pump operators,841381,Pumps nes
8240,Packaging machine operators,842240,Packing or wrapping machinery nes
8240,Packaging machine operators,842381,Weighing machinery having a capacity < 30 kg nes
8240,Packaging machine operators,842382,Weighing machinery having a capacity of 30-5000 kg
8240,Packaging machine operators,844120,"Machines for making paper/board bags, sacks, envelopes"
8291,Boiler operators (licensed boilermen),840211,"Water tube boilers, steam production > 45T per hour"
8291,Boiler operators (licensed boilermen),840212,"Water tube boilers, steam production < 45T per hour"
8291,Boiler operators (licensed boilermen),840310,Central heating boilers nes
8291,Boiler operators (licensed boilermen),841610,Furnace burners for liquid fuel
8291,Boiler operators (licensed boilermen),841620,"Furnace burners for solid, gas or combination fuel"
8291,Boiler operators (licensed boilermen),841630,"Mechanical stokers, grates, ash dischargers, etc"
8291,Boiler operators (licensed boilermen),851410,Industrial electric resistance heated furnaces & ovens
8291,Boiler operators (licensed boilermen),902620,Equipment to measure or check pressure
8292,Decontaminating machine and equipment operators,902219,Non-medical X-ray equipment
8292,Decontaminating machine and equipment operators,902229,Non-medical apparatus using alpha/beta/gamma radiation
8292,Decontaminating machine and equipment operators,902740,Exposure meters
8292,Decontaminating machine and equipment operators,903010,Instruments to measure or detect ionising radiations
8293,"Agricultural machine operators, mechanics",841931,Dryers for agricultural products
8293,"Agricultural machine operators, mechanics",842481,Agricultural sprays and powder dispersers
8293,"Agricultural machine operators, mechanics",843210,Ploughs
8293,"Agricultural machine operators, mechanics",843221,Disc harrows
8293,"Agricultural machine operators, mechanics",843229,"Scarifiers, cultivators, weeders and hoes"
8293,"Agricultural machine operators, mechanics",843230,"Seeders, planters and transplanters"
8293,"Agricultural machine operators, mechanics",843240,Manure spreaders and fertilizer distributors
8293,"Agricultural machine operators, mechanics",843280,"Rollers, soil preparation, cultivation machinery, nes"
8293,"Agricultural machine operators, mechanics",843320,"Hay etc mowers and cutter bars, tractor mounting"
8293,"Agricultural machine operators, mechanics",843330,Hay tedders and rakes and other haymaking machinery
8293,"Agricultural machine operators, mechanics",843340,"Straw or fodder balers, including pick-up balers"
8293,"Agricultural machine operators, mechanics",843351,Combine harvester-threshers
8293,"Agricultural machine operators, mechanics",843352,Threshing machinery nes
8293,"Agricultural machine operators, mechanics",843353,Root or tuber harvesting machines
